URL,Size in sq ft,Price per month,Cost per sq ft
https://vancouver.craigslist.org/van/apa/d/vancouver-split-level-apartment/6819117751.html,600,1395,2.325
https://vancouver.craigslist.org/van/apa/d/vancouver-welcome-to-pacific-west-plaza/6797905945.html,800,1500,1.875
https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-fully-furnished-1/6826041957.html,620,1500,2.4193548387096775
https://vancouver.craigslist.org/van/apa/d/vancouver-sunny-1-bed-apartment-with/6828647261.html,530,1500,2.830188679245283
https://vancouver.craigslist.org/van/apa/d/steps-to-coal-harbor-and-stanley-park/6812445283.html,600,1585,2.6416666666666666
https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-1br-central-location/6829837023.html,700,1595,2.2785714285714285
https://vancouver.craigslist.org/van/apa/d/vancouver-robson-and-hamilton-1br/6816342117.html,530,1600,3.018867924528302
https://vancouver.craigslist.org/van/apa/d/vancouver-one-bedroom-appartment-west/6803217329.html,650,1610,2.476923076923077
https://vancouver.craigslist.org/van/apa/d/vancouver-1-bedroom-apartment-for-rent/6828198485.html,506,1612,3.185770750988142
https://vancouver.craigslist.org/van/apa/d/vancouver-1-bdrm-ocean-view-2-blocks/6818184091.html,500,1650,3.3
https://vancouver.craigslist.org/van/apa/d/english-bay-view-apartment/6823918403.html,500,1650,3.3
https://vancouver.craigslist.org/van/apa/d/vancouver-br-515ft-yaletown-1-bedroom/6829149899.html,515,1650,3.203883495145631
https://vancouver.craigslist.org/van/apa/d/vancouver-renovated-one-bedroom-in/6829777048.html,602,1650,2.740863787375415
https://vancouver.craigslist.org/van/apa/d/vancouver-1-bed-bath-in-the-west-end-of/6828589744.html,596,1680,2.8187919463087248
https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-one-bedroom/6790309724.html,610,1684,2.760655737704918
https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friendly-renovated-1-bdr/6796393978.html,600,1700,2.8333333333333335
https://vancouver.craigslist.org/van/apa/d/vancouver-renovated-one-bedroom/6801460413.html,600,1700,2.8333333333333335
https://vancouver.craigslist.org/van/apa/d/vancouver-renovated-pet-friendly-1/6812154779.html,550,1675,3.0454545454545454
https://vancouver.craigslist.org/van/apa/d/vancouver-renovated-one-bedroom/6814286045.html,550,1675,3.0454545454545454
https://vancouver.craigslist.org/van/apa/d/vancouver-renovated-pet-friendly-1/6821025760.html,550,1675,3.0454545454545454
https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-beautiful-1-bed/6800280260.html,650,1700,2.6153846153846154
https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-beautiful-1-bed/6801135055.html,650,1700,2.6153846153846154
https://vancouver.craigslist.org/van/apa/d/vancouver-bright-1bd-february-1/6802800225.html,500,1700,3.4
https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-available-february-1/6805924978.html,500,1650,3.3
https://vancouver.craigslist.org/van/apa/d/vancouver-bright-and-beautiful-1/6828077744.html,500,1700,3.4
https://vancouver.craigslist.org/van/apa/d/vancouver-1bdr-west-end-available-apr-1/6805292387.html,550,1700,3.090909090909091
https://vancouver.craigslist.org/van/apa/d/vancouver-elegant-1-bed-at-surfcrest/6820448495.html,550,1700,3.090909090909091
https://vancouver.craigslist.org/van/apa/d/vancouver-elegant-1-bed-at-surfcrest/6823467840.html,550,1700,3.090909090909091
https://vancouver.craigslist.org/van/apa/d/vancouver-near-stanley-park-and-coal/6826736125.html,450,1700,3.7777777777777777
https://vancouver.craigslist.org/van/apa/d/vancouver-1212-howe-st-downtown-1/6829758290.html,400,1700,4.25
https://vancouver.craigslist.org/van/apa/d/vancouver-renovated-1-bedroom-for-rent/6829560194.html,630,1725,2.738095238095238
https://vancouver.craigslist.org/van/apa/d/vancouver-1-bedroom-for-rent/6829563033.html,600,1745,2.908333333333333
https://vancouver.craigslist.org/van/apa/d/vancouver-executive-renovated-one/6791933560.html,548,1750,3.1934306569343067
https://vancouver.craigslist.org/nvn/apa/d/vancouver-anchor-point-enjoy-downtown/6800880973.html,542,1750,3.2287822878228782
https://vancouver.craigslist.org/van/apa/d/vancouver-studio-at-qube-coal-harbour/6807672408.html,430,1750,4.069767441860465
